File name,Role type,Shengqiang,Banshi,Couplet line,Lyrics line,Start,End,Tones,1 section,,,2 section,,,3 section,,
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,x,贼昏王篡了位谋乱邦家。,54,71,2124342411,贼昏王,54,57,篡了位,59,61.5,谋乱邦家。,62,71
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,s2,把一个皇太子逼死殿下，,74,91,3242451344,把一个,74,76.5,皇太子,79,81,逼死殿下，,82,91
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,x,反倒说为嫂我拦阻有差，,94,111,3314332331,反倒说,94,96.5,为嫂我,99,101,拦阻有差，,102,111
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,s2,贼好比王莽贼称孤道寡，,114,131,2332321143,贼好比,114,116.5,王莽贼,119,121,称孤道寡，,122,131
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,x,贼好比曹阿瞒半点不差，,134,151,2332124341,贼好比,134,136.5,曹阿瞒,139,141,半点不差，,142,151
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,s2,贼好比秦赵高指鹿为马，,154,173.5,2332413423,贼好比,154,156.5,秦赵高,159,161,指鹿为马，,162,173.5
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,x,贼好比那司马师搅乱中华。,174,191,23341313412,贼好比,174,176,那司马师,177.5,181.5,搅乱中华。,182,191
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,s2,只骂得贼昏王装聋作哑，,194,211,3422121243,只骂得,194,196.5,贼昏王,199,201.5,装聋作哑，,202,211
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,x,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,214,256,3422123311442111224341,只骂得,214,216,贼昏王扭转身驱、闭目合晴、羞羞惭惭,218,233.5,一语不发，,234,256
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,s2,只骂得贼昏王无言对答。,258,275,3422122242,只骂得,258,260.5,贼昏王,263,265.5,无言对答。,266,275
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,x,两旁的文武臣珠泪如麻，,278,295,3252321422,两旁的,278,281,文武臣,283,285.5,珠泪如麻，,286,295
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,s2,搬一把金交椅娘且坐下，,298,315,1431132344,搬一把,298,300.5,金交椅,303,305,娘且坐下，,306,315
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,x,你叔王不让位再去骂他。,318,360,3122444441,你叔王,318,321,不让位,323,325.5,再去骂他。,326,360
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s1,自那日与徐杨决裂以后，,40,96,4443222434,自那日,40,45,与徐杨,48,56,决裂以后，,72,96
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,x,独坐在寒宫院闷闷悠悠。,116,152,2442144411,独坐在,116,123,寒宫院,125,127.5,闷闷悠悠。,128,152
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s1,先王爷晏驾后太子年幼，,168,208.5,1224444524,先王爷,168,172,晏驾后,176,184,太子年幼，,200,208.5
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,x,太师爷一心心想篡龙楼。,212,228.25,4124113422,太师爷,212,215.25,一心心,217,219,想篡龙楼。,220,228.25
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s2,他那里父女情全然无有，,232,248.5,1434322223,他那里,232,234.25,父女情,237,239,全然无有，,240,248.5
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,x,竟把我孤儿寡母当做了马牛。,252,271.5,433123314332,竟把我,252,255,孤儿寡母,256,"259,875",当做了马牛。,260,271.5
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s2,徐小姐把守在宫门口，,272,316,233334123,徐小姐,272,274.25,把守在,277,279,宫门口，,280,316
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,x,看一看不觉到八月中秋。,352,384,4244241411,看一看,352,359,不觉到,361,363,八月中秋。,364,384
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s1,李艳妃坐昭阳自思自想，,402,438,3414124143,李艳妃,402,406.5,坐昭阳,410,418,自思自想，,430,438
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,x,想起了老王爷好不惨伤。,442,470,3333223431,想起了,442,445,老王爷,447,449,好不惨伤。,450,470
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s1,耳边厢又听得朝靴响亮，,486,522.5,3114122134,耳边厢,486,490,又听得,494,502,朝靴响亮，,514,522.5
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,x,想必是徐杨进了昭阳。,526,544,344224312,想必是,526,528.25,徐杨,531,533,进了昭阳。,534,544
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s2,有一句话儿不好言讲，,546,562.5,324454323,有一句,546,548.25,话儿,551,552.5,不好言讲，,554,562.5
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,x,我只得怀抱太子两泪汪汪口口声声哭的是先王！,566,610,33224453411331115412,我只得,566,568.25,怀抱太子两泪汪汪口口声声,570,581.5,哭的是先王！,582,610
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,s1,自那日与六郎姻缘相见，,17,35.25,4443421214,自那日,17,21,与六郎,25,29,姻缘相见，,31,35.25
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,x,行不安坐不宁情态缠绵。,37,45.25,2414422422,行不安,37,38.5,坐不宁,39,40,情态缠绵。,41,45.25
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,s2,在潼台被贼擒在命好险，,47,55.25,4224224433,在潼台,47,48,被贼擒,49.5,50.75,在命好险，,51,55.25
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,x,乱军中多亏他救我回还。,57,79,4111114322,乱军中,57,58,多亏他,59.5,60.75,救我回还。,61,79
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,s1,这桩事闷得我柔肠百转，,87,119.5,4144232233,这桩事,87,97,闷得我,101,109,柔肠百转，,115,119.5
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,x,不知道他与我是否一般。,121,129.25,4141334341,不知道,121,122,他与我,123.5,124.75,是否一般。,125,129.25
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,s2,百姓们闺房乐如花美眷，,131,139.25,3451242134,百姓们,131,132,闺房乐,133.5,134.75,如花美眷，,135,139.25
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,x,帝王家深宫院似水流年。,141,151.25,4211144322,帝王家,141,142,深宫院,143.5,144.5,似水流年。,145,151.25
